id,name,city,state,website,phone,glow_score,review_count,quality_score,review_reason,has_website,has_phone,services_count
"4ffc4e72-755d-46d9-a173-a041bab0e1d4","Elia Med Spa","Orlando",,"","",,0,25,"missing_image,no_website,no_phone,low_reviews",false,false,1
"3d1dc3e3-74cc-4f70-8c91-450099ac4750","Luxury Smile Aesthetics","Miami","FL","","",0,0,25,"missing_image,no_website,no_phone,low_reviews",false,false,1
"c82dcdd6-3d2b-4e9b-9cbc-fbe3a70cd6d0","AESTHETIC CLINIC","North Miami Beach","FL","","",0,0,25,"missing_image,no_website,no_phone,low_reviews",false,false,1
"c96136a7-cea8-4658-9437-1a858fb0718d","Perimeter Weight and Wellness LLC","","","http://perimeterwellness.com/","",0,0,30,"missing_image,no_phone,no_address,low_reviews",true,false,1
"1194c512-d2cc-451a-81ee-7038ac8f8df4","Windermere Aesthetics","Orlando",,"","(407) 630-8950",0,0,40,"missing_image,no_website,low_reviews",false,true,1
"5bdac3b1-d222-477f-b1b7-9bad6219999c","Under the Clouds","Naples","FL","","",5,2,40,"missing_image,no_website,no_phone,low_reviews",false,false,1
"6f8acd28-f29d-46f8-bc01-428a1e9de9da","Beautiful Skin Boston","Brookline","Massachusetts","","(617) 735-1800",0,0,40,"missing_image,no_website,low_reviews",false,true,1
"43cbfa51-2947-467e-a4ed-2f0681cb72c8","Orlando Medical Center","Orlando",,"","(407) 345-8766",0,0,40,"missing_image,no_website,low_reviews",false,true,1
"f13c2e77-1b27-4a4b-855c-cbc7bd73e040","Bonsai Holistic Spa","Largo","FL","","(727) 518-6008",,0,40,"missing_image,no_website,low_reviews",false,true,1
"e84752ef-029f-4cf1-b52e-e70aa648d917","Aesthetics Collective Skin Care","Miami Gardens","FL","http://www.aestheticscollectiveny.com/","",,0,45,"missing_image,no_phone,low_reviews",true,false,1
"d8292edb-0890-43a2-92ea-8ab88ca82b65","Michy Aesthetics - Clearwater","Clearwater",,"http://www.michyaesthetics.com/","",0,0,45,"missing_image,no_phone,low_reviews",true,false,1
"e62ebde8-f4fa-4975-b43c-456138f36c22","Somar MD Medspa","Ocala","FL","https://www.somarmd.com/","(352) 844-7935",,0,45,"missing_image,no_address,low_reviews",true,true,1
"011b1dad-d054-45a7-aca8-b2afe7e24fb1","The Orange Drip","Lauderhill","FL","","(888) 800-8626",5,0,55,"missing_image,no_website,low_reviews",false,true,1
"f329b643-811d-4af9-b42e-55f2ada188c7","LALA RIVERS HAIR SALON & SPA","Hallandale Beach","FL","","(305) 988-3069",5,0,55,"missing_image,no_website,low_reviews",false,true,1
"6e54d133-e70c-4750-88be-2fe121f6c70b","Hair Specialist Lucas Fustinoni VQ Clinic Trichologist Orlando","Orlando",,"","(407) 412-6080",5,4,55,"missing_image,no_website,low_reviews",false,true,1
"943355a4-9b12-41a6-9f85-5ece82183120","Calmed Medical Spa","Hallandale Beach","FL","","(954) 455-3434",5,0,55,"missing_image,no_website,low_reviews",false,true,1
"83da5fef-5728-43ca-8ff2-b57926beb7f9","Laser Treatments","Hallandale Beach","FL","","(954) 854-8484",5,0,55,"missing_image,no_website,low_reviews",false,true,1
"3ceae66e-8fcb-4280-afbe-e6118af9629f","Body By Jenny","Hallandale Beach","FL","","(954) 706-0565",5,0,55,"missing_image,no_website,low_reviews",false,true,1
